hotelName,cityName,stars,price,countryName,address
Fafa Island Resort,NukuAlofa,3,172,Tonga,Fafa Island PO Box 1444
International Dateline Hotel,NukuAlofa,3,99999,Tonga,P.O.Box 39 Vuna Road
Kava Palm Guesthouse NukuAlofa,NukuAlofa,2,99999,Tonga,Taufaa ahau Road
Lagoon Lodge Nuku‘alofa,NukuAlofa,3,99,Tonga,Umusi Road Fanga’uta Lagoon Ma’ufanga
Likualofa Beach Resort,Kanokupolu,3,105,Tonga,Private Bag No.2
Little Italy Hotel NukuAlofa,NukuAlofa,5,152,Tonga,P.O.Box 2891 Vuna Road Kolomotua
Loumaile Lodge,NukuAlofa,4,168,Tonga,Taufa’ahau Road
Nanisis Place,NukuAlofa,3,99999,Tonga,Vaha Akolo Road
Otuhaka Beach Resort,NukuAlofa,3,99999,Tonga,Po Box 374
Royal Sunset Island Resort,Atata Island,3,99999,Tonga,Atata Island
Seaview Lodge,NukuAlofa,0,99999,Tonga,Vuna Rd.
The Black Pearl Suites,NukuAlofa,4,173,Tonga,Vuna Road Sopu
Vakaloa Beach Resort,Kanokupolu,0,132,Tonga,Ikalahi Road PO Box 1913
Waterfront Lodge NukuAlofa,NukuAlofa,3,169,Tonga,Vuna Road Maufanga - P.O. Box 1001
Sandy Beach Resort Lotofoa,Lotofoa,4,149,Tonga,Haapai - Foa Island
Reef Resort Neiafu,Neiafu,4,99999,Tonga,Private Bag 11
Bibis Hideaway,Taveuni,1,99999,Fiji,Matei
Coconut Grove Beachfront Cottages,Taveuni,3,99999,Fiji,P.O.#9 Matei Taveuni Fiji Islands
First Light Inn,Waiyevo,1,99999,Fiji,P.O. Box 3
Garden Island Resort Waiyevo,Waiyevo,3,197,Fiji,PO Box 1
Karins Garden,Taveuni,2,99999,Fiji,Coastal Road Matei
Makaira by the Sea,Taveuni,2,99999,Fiji,Matei
Maqai Beach,Qamea,2,55,Fiji,Maqai Beach
Maravu Plantation Beach Resort & Spa Taveuni,Taveuni,5,299,Fiji,West Coast Road
Matangi Private Island Resort,Matagi Island,4,99999,Fiji,Matangi Island
Nakia Resort & Dive,Taveuni,3,99999,Fiji,PO Box 204
Paradise Resort Taveuni,Taveuni,4,298,Fiji,Vuna Road Southern Tavueni Taveuni Island Fiji Islands.
Qamea Resort And Spa Fiji,Qamea,4,570,Fiji,Pa Matei Taveuni
Taveuni Palms Resort,Taveuni,3.5,99999,Fiji,P.O. Box 51 Matei
Todranisiga,Taveuni,2,99999,Fiji,Matei Road Matei
Coconuts Beach Club,Apia,3,351,Samoa,South Coast Maninoa Village | PO Box 3684
Samoa Hideaway Beach,Upolu,3,81,Samoa,Matatufu
Seabreeze Resort,Upolu,3.5,256,Samoa,Paradise Cove Aufaga
Sinalei Reef Resort,Apia,4,332,Samoa,Siumu
Taufua Beach Fales,Apia,2.5,54,Samoa,Aleipata
Auga Seaside Resort,Asau,2,99999,Samoa,PO Box 3272
Le Vasa Resort,Upolu,0,126,Samoa,Cape Fatuosofia Main West Coast Road
Lusias Lagoon Chalets,Salelologa,3,45,Samoa,South Coast Road
Savaii Lagoon Resort,Savaii,0,173,Samoa,Coast Road Fagamalo
Stevensons At Manase,Savaii,2.5,99999,Samoa,Manase Village
The Savaiian Hotel,Salelologa,3,99999,Samoa,P.O.Box 7009
Vacations Beach Fales,Savaii,2.5,99999,Samoa,Manase
Aggie Greys Hotel,Apia,3,201,Samoa,PO Box 67
Aggie Greys Lagoon Beach Resort & Spa,Apia,4,247,Samoa,Mulifanua Ferry Terminal Pier PO Box 3267
Amanaki Hotel,Apia,3,107,Samoa,Beach Road Sogi
Insel Fehmarn Hotel,Apia,3,112,Samoa,Cross Island Road
Le Manumea Hotel,Apia,4,137,Samoa,Vailima
LeUaina Seaside Resort,Upolu,2,137,Samoa,Faleapuna
Orator Hotel,Apia,3,130,Samoa,Tanumapua Village Alafaalava Road
Princess Tui Inn Apia,Apia,2,99999,Samoa,1 Vaiala Beach Road PO Box 9590
Sa Moana Resort,Apia,3,99999,Samoa,Salamumu Beach PO Box 3450
Samoa Marina Hotel,Apia,2,99999,Samoa,Beach Road Matautu-tai
Samoan Outrigger Hotel,Apia,1,31,Samoa,Cross Island Road
Tanoa Tusitala Hotel,Apia,4,157,Samoa,Beach Road Sogi
The Mangrove Garden Restaurant & Accommodation,Apia,2,45,Samoa,Saanapu-Tai Road
Virgin Cove Resort,Upolu,2,99999,Samoa,Saanapu-TaiSaanapu Village
Aires Del Beagle Apart Hotel,Ushuaia,3,122,Argentina,17de Mayo nro 616
Albatros Hotel Ushuaia,Ushuaia,4,169,Argentina,Avenida Maipu 505
Alto Andino Hotel,Ushuaia,3,110,Argentina,Gobernador Paz 868
Altos Ushuaia,Ushuaia,2,122,Argentina,Luis Fernando Martial 1441
Apart Hotel Los Pinos,Ushuaia,2,99999,Argentina,Av. Magallanes 1519
Arwen Mesheken Apart Hotel,Ushuaia,1,101,Argentina,Salta 2451
Bahia Serena Apart Hotel,Ushuaia,3,117,Argentina,Juana Genoveva Fadul 254
Beagle Channel Hotel,Ushuaia,2,99999,Argentina,Maipu 547
Cabanas Bahia Cauquen,Ushuaia,3,99999,Argentina,Reinamora s/n
Cabanas Del Hain,Ushuaia,2,88,Argentina,De Los Vientos 2526
Cabanas Del Martial,Ushuaia,3,172,Argentina,Luis Martial 2135
Cabañas Hannus Ushuaia,Ushuaia,3,99999,Argentina,Leandro N. Alem 2950
Cabanas Portal del Glaciar,Ushuaia,1,107,Argentina,Aldo Motter 2511
Candelas De Ushuaia,Ushuaia,3,101,Argentina,Del Tolkeyen 783
Cilene del Faro Suites & Spa,Ushuaia,4,136,Argentina,Yaganes 74
Costa Ushuaia,Ushuaia,3,78,Argentina,Costa De Los Pajaros 1821
Cumbres Del Martial Villa Ushuaia,Ushuaia,4,243,Argentina,Luis F. Martial Km. 5
Del Glaciar Hotel,Ushuaia,4,155,Argentina,Av. Luis Fernando Martial 2355
Departamentos Ahnen,Ushuaia,1,55,Argentina,Padre Jose Maria Beauvoir 1870
Departamentos Ahnen I,Ushuaia,1,93,Argentina,Don Bosco 267
El Viejo Lobo de Mar,Ushuaia,3,136,Argentina,Gobernador Godoy 98
Familia Piatti,Ushuaia,1,61,Argentina,Bahia Paraiso 812
Finisterris Lodge Relax And Spa Ushuaia,Ushuaia,5,460,Argentina,Monte Susana Ladera Estes
Fueguino Hotel Patagonico,Ushuaia,4,149,Argentina,Gobernador Deloqui 1282/Aime Painé 1665 6 Of 6
Hostal Bahia El Torito,Ushuaia,1,99999,Argentina,Margen Sur Lago Fagnano Bahía Torito (Acceso Nautico) Por Ruta 119
Hostal De La Laguna,Ushuaia,1.5,40,Argentina,Las Lajas 1247
Hostal Del Bosque Apart Hotel,Ushuaia,3,88,Argentina,Avenida Magallanes 709
Hostal del Monte Ushuaia,Ushuaia,2,99999,Argentina,Ricardo Rosales 305
Hosteria Ailen Ushuaia,Ushuaia,2,63,Argentina,Leandro N. Alem 3981
Hosteria America,Ushuaia,3,83,Argentina,Gobernador Paz 1665
Hosteria Bella Vista,Ushuaia,3,62,Argentina,Cabo De Hornos 4018
Hosteria Chalp,Ushuaia,2.5,81,Argentina,Avenida Alem 1839
Hosteria del Recodo,Ushuaia,3,49,Argentina,Calle del Recodo 2361
Hosteria Foike,Ushuaia,2,98,Argentina,CAMPOS 1554
Hosteria Las Lengas - Tierra del Fuego,Tierra del Fuego,2.5,99999,Chile,Lago Blanco
Hosteria Les Eclaireurs,Ushuaia,3,49,Argentina,Staiyakin 2676
Hosteria Los Fuegos,Ushuaia,3,99999,Argentina,Av. Perito Moreno 4960
Hosteria Los Lagos,Ushuaia,2,95,Argentina,Patagonia 66
Hosteria Mirabeagle,Ushuaia,3,66,Argentina,De Los Nires No. 3220
Hosteria Patagonia Jarke,Ushuaia,3,130,Argentina,Av. Gobernador Paz 1305
Hosteria Rosa De Los Vientos Ushuaia,Ushuaia,3,67,Argentina,Roca 533
Hosteria Sloggett,Ushuaia,3,99,Argentina,Gdor. Campos 1310
Hosteria Ushuaia Green House,Ushuaia,3,99999,Argentina,Av De Los Aires S/n Barrio El Recodo
Hosteria Valle Frio,Ushuaia,3,76,Argentina,Hipólito Bouchard 310
Hotel Austral Ushuaia,Ushuaia,2,99999,Argentina,9 De Julio 250
Hotel Campanilla Ushuaia,Ushuaia,2,83,Argentina,Urb El Recodo 825
Hotel Cap Polonio,Ushuaia,3,177,Argentina,San Martín 746
Hotel Capri Ushuaia,Ushuaia,2,81,Argentina,San Martin 720
Hotel Las Lengas,Ushuaia,3,137,Argentina,GOLETA FLORENCIA 1722
Hotel Los Nires,Ushuaia,3,89,Argentina,Av. de Los Nires 3040
Hotel Los Yamanas,Ushuaia,2,99999,Argentina,Costa De Los Yamanas 3038
Hotel Monaco,Ushuaia,2,121,Argentina,San Martin 1355
Kauyeken Hotel Ushuaia,Ushuaia,3,73,Argentina,Ruta Nacional Nro. 3 km 3028
La Casa De Alba,Ushuaia,1,53,Argentina,Belakaimain 247
La Posada del Fin del Mundo,Ushuaia,1,62,Argentina,Rivadavia 610
La Posta Hostel,Ushuaia,1,20,Argentina,Peron Sur 864
Las Hayas Resort Hotel,Ushuaia,5,209,Argentina,Luis Martial 1650 Martial 1650
Las Rocios Hotel Ushuaia,Ushuaia,2,77,Argentina,Primer Argentino 250
Lennox Hotel,Ushuaia,4,149,Argentina,San Martin 776
Los Acebos,Ushuaia,4,97,Argentina,Luis F. Martial 1911 Camino Al Glaciar Martial
Los Cauquenes Resort & Spa,Ushuaia,5,233,Argentina,De La Ermita 3462
